section_id,doc_id,api_id,api_name,api_type,namespace
MessageTemplateSkipNullOrEmptyValues1132773::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/MessageTemplateSkipNullOrEmptyValues1132773,DevExpress.Persistent.Validation.IRuleBaseProperties.MessageTemplateSkipNullOrEmptyValues,MessageTemplateSkipNullOrEmptyValues,property,DevExpress.Persistent.Validation.IRuleBaseProperties
MessageTemplateTargetDoesNotSatisfyTargetCriteria1132774::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/MessageTemplateTargetDoesNotSatisfyTargetCriteria1132774,DevExpress.Persistent.Validation.IRuleBaseProperties.MessageTemplateTargetDoesNotSatisfyTargetCriteria,MessageTemplateTargetDoesNotSatisfyTargetCriteria,property,DevExpress.Persistent.Validation.IRuleBaseProperties
MessageTemplateTargetDoesNotSatisfyTargetCriteria1132774::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/MessageTemplateTargetDoesNotSatisfyTargetCriteria1132774,DevExpress.Persistent.Validation.RuleBaseAttribute.TargetCriteria,TargetCriteria,class,DevExpress.Persistent.Validation.RuleBaseAttribute
Name1132775::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/Name1132775,DevExpress.Persistent.Validation.IRuleBaseProperties.Name,Name,property,DevExpress.Persistent.Validation.IRuleBaseProperties
ResultType1137291::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/ResultType1137291,DevExpress.Persistent.Validation.IRuleBaseProperties.ResultType,ResultType,property,DevExpress.Persistent.Validation.IRuleBaseProperties
ResultType1137291::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/ResultType1137291,DevExpress.Persistent.Validation.ValidationResultType,ValidationResultType,property,DevExpress.Persistent.Validation
SkipNullOrEmptyValues1132776::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/SkipNullOrEmptyValues1132776,DevExpress.Persistent.Validation.IRuleBaseProperties.SkipNullOrEmptyValues,SkipNullOrEmptyValues,property,DevExpress.Persistent.Validation.IRuleBaseProperties
SkipNullOrEmptyValues1132776::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/SkipNullOrEmptyValues1132776,DevExpress.Persistent.Validation.RuleBaseAttribute.SkipNullOrEmptyValues,SkipNullOrEmptyValues,class,DevExpress.Persistent.Validation.RuleBaseAttribute
TargetContextIDs1132934::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/TargetContextIDs1132934,DevExpress.Persistent.Validation.IRuleBaseProperties.TargetContextIDs,TargetContextIDs,property,DevExpress.Persistent.Validation.IRuleBaseProperties
TargetContextIDs1132934::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/TargetContextIDs1132934,DevExpress.Persistent.Validation.RuleBaseAttribute.TargetContextIDs,TargetContextIDs,class,DevExpress.Persistent.Validation.RuleBaseAttribute
