uid,title,path,article_type,word_count,num_actual_useful_apis,num_high_priority,num_medium_priority,realistic_score,base_score,ticket_weight,primary_ticket_category,ticket_count,has_code_blocks
402156,Add a Simple Action Using an Attribute,data\raw_md\articles\getting-started\in-depth-tutorial-blazor\add-actions-menu-commands\add-a-simple-action-using-an-attribute.md,tutorial,178,3,1,1,23.03711689511782,18.0,1.2798398275065455,Grid List Editors,554,True
114052,How to: Display a Non-Persistent Object's List View from the Navigation,data\raw_md\articles\business-model-design-orm\non-persistent-objects\how-to-display-a-non-persistent-objects-list-view-from-the-navigation.md,how_to,250,3,1,1,23.03711689511782,18.0,1.2798398275065455,Grid List Editors,554,True
113552,Enumeration Properties,data\raw_md\articles\business-model-design-orm\data-types-supported-by-built-in-editors\enumeration-properties.md,general,176,3,0,2,22.97474202987833,13.0,1.7672878484521792,Built-in View Items & Editors,765,False
115793,Display Properties of a Referenced Object in the Master Object's View,data\raw_md\articles\ui-construction\views\layout\display-properties-of-a-referenced-object-in-the-master-objects-view.md,reference_list,489,8,2,2,22.88603111042661,11.4,2.007546588633913,Custom View Items & Editors,869,True
118045,Application Solution Structure,data\raw_md\articles\app-shell-and-base-infrastructure\application-solution-components\application-solution-structure.md,general,386,5,0,3,22.408747882334822,20.0,1.1204373941167411,Custom logic within View or Controller,485,False
113658,Color Properties,data\raw_md\articles\business-model-design-orm\data-types-supported-by-built-in-editors\color-properties.md,general,100,5,1,1,22.408747882334822,20.0,1.1204373941167411,Custom logic within View or Controller,485,True
404105,XAF0024: Do not implement IXafEntityObject in the XPO classes,data\raw_md\articles\debugging-testing-and-error-handling\code-diagnostics\xaf0024.md,diagnostic,25,5,1,1,22.408747882334822,20.0,1.1204373941167411,Custom logic within View or Controller,485,True
404207,Manage BLOB Data Through a Web API Controller Endpoint,data\raw_md\articles\backend-web-api-service\manage-blob-data-through-web-api-controller-endpoint.md,general,575,5,1,1,22.408747882334822,20.0,1.1204373941167411,Custom logic within View or Controller,485,True
112610,Action Containers,data\raw_md\articles\ui-construction\action-containers.md,general,739,5,1,1,22.408747882334822,20.0,1.1204373941167411,Custom logic within View or Controller,485,True
403619,Delete Objects from the Database,data\raw_md\articles\data-manipulation-and-business-logic\create-read-update-and-delete-data\delete-objects-from-database.md,general,172,5,0,3,22.408747882334822,20.0,1.1204373941167411,Custom logic within View or Controller,485,True
,Security (Access Control & Authentication),data\raw_md\articles\data-security-and-safety\security-system.md,general,524,6,1,1,21.78268904974588,21.0,1.0372709071307562,Built-in Permissions Setup/Troubleshooting,449,True
119740,How to: Display a List View as a Pivot Grid Table and Chart,data\raw_md\articles\ui-construction\list-editors\how-to-display-a-list-view-as-a-pivot-grid-table-and-chart.md,how_to,313,7,0,2,21.757277067611273,17.0,1.2798398275065455,Grid List Editors,554,False
403425,XAF0005: XAF controller classes should be public,data\raw_md\articles\debugging-testing-and-error-handling\code-diagnostics\xaf0005.md,diagnostic,46,4,1,1,21.28831048821808,19.0,1.1204373941167411,Custom logic within View or Controller,485,True
403424,XAF0004: Implement XAF controller constructors correctly,data\raw_md\articles\debugging-testing-and-error-handling\code-diagnostics\xaf0004.md,diagnostic,112,4,1,1,21.28831048821808,19.0,1.1204373941167411,Custom logic within View or Controller,485,True
113014,Data Types of Business Class Properties and Built-in Property Editors,data\raw_md\articles\business-model-design-orm\data-types-supported-by-built-in-editors.md,general,141,2,0,2,21.20745418142615,12.0,1.7672878484521792,Built-in View Items & Editors,765,False
113351,Workflow Server Service,data\raw_md\articles\business-process-management\workflow\workflow-server-service.md,general,1298,5,1,1,20.745418142615122,20.0,1.0372709071307562,Built-in Permissions Setup/Troubleshooting,449,True
112580,How the XAF Application Model Works,data\raw_md\articles\ui-construction\application-model-ui-settings-storage\how-application-model-works.md,general,1316,6,0,2,20.477437240104727,16.0,1.2798398275065455,Grid List Editors,554,True
403111,Access the Audit Log In the Database,data\raw_md\articles\data-security-and-safety\audit-trail\audit-trail-ef-core\access-the-audit-log-in-the-database.md,general,503,4,2,1,20.299553365162485,29.0,0.6999845987987063,EF Core Specifics,303,True
112622,Actions (Menu Commands),data\raw_md\articles\ui-construction\controllers-and-actions\actions.md,general,195,5,0,1,20.07546588633913,10.0,2.007546588633913,Custom View Items & Editors,869,False
113714,User-Defined State Transitions Specified at Runtime,data\raw_md\articles\business-process-management\state-machine\user-defined-state-transitions-specified-at-runtime.md,general,450,5,0,1,20.07546588633913,10.0,2.007546588633913,Custom View Items & Editors,869,True
404762,Accessibility Support,data\raw_md\articles\accessibility.md,general,530,5,0,1,20.07546588633913,10.0,2.007546588633913,Custom View Items & Editors,869,False
,Asynchronous Data Loading (Windows Forms),data\raw_md\articles\ui-construction\views\asynchronous-data-loading\asynchronous-data-loading.md,general,309,5,0,1,20.07546588633913,10.0,2.007546588633913,Custom View Items & Editors,869,True
113665,Key Properties,data\raw_md\articles\business-model-design-orm\data-types-supported-by-built-in-editors\key-properties.md,general,306,5,0,3,20.0,20.0,1.0,,0,False
404233,Execute CRUD Operations for Non-Persistent Objects,data\raw_md\articles\backend-web-api-service\execute-crud-operations-for-non-persistent-objects.md,general,486,2,2,0,19.465578315108576,22.0,0.8847990143231171,Non-Persistent Objects,383,True
404717,"Deploy a XAF ASP.NET Core Application (Blazor Server, Middle Tier Server, or Web API Service) to Linux with Nginx",data\raw_md\articles\deployment\asp-net-core-blazor\deploy-net-core-application-to-linux-with-nginx.md,general,983,1,1,0,19.440166332973973,11.0,1.7672878484521792,Built-in View Items & Editors,765,True
113371,Declare Conditional Appearance Rules in Code,data\raw_md\articles\conditional-appearance\declare-conditional-appearance-rules-in-code.md,general,598,6,0,1,19.440166332973973,11.0,1.7672878484521792,Built-in View Items & Editors,765,False
402925,Queryable Mode,data\raw_md\articles\ui-construction\views\list-view-data-access-modes\queryable-mode.md,general,285,5,1,0,19.19759741259818,15.0,1.2798398275065455,Grid List Editors,554,True
113115,Windows Forms Application Life Cycle,data\raw_md\articles\app-shell-and-base-infrastructure\application-life-cycle\windows-forms-application-life-cycle.md,general,312,5,0,3,18.758663175727705,20.0,0.9379331587863853,Creating & Showing Views,406,False
404186,Why We Recommend EF Core over XPO for New Development,data\raw_md\articles\why-we-recommend-ef-core-over-xpo.md,best_practices,1758,5,0,3,18.758663175727705,20.0,0.9379331587863853,Creating & Showing Views,406,False
113540,Boolean Properties,data\raw_md\articles\business-model-design-orm\data-types-supported-by-built-in-editors\boolean-properties.md,general,217,3,0,3,18.0,18.0,1.0,,0,False
113152,"Access the Currently Logged User for Data Filtering, Business Logic, and Security Permissions",data\raw_md\articles\data-security-and-safety\security-system\authorization-and-data-protection\filter-secured-data-based-on-object-owner\get-the-current-user-in-code.md,general,603,4,1,0,17.917757585091636,14.0,1.2798398275065455,Grid List Editors,554,True
113591,Reports V2 Module,data\raw_md\articles\shape-export-print-data\reports\reports-v2-module-overview.md,conceptual,519,4,0,2,17.917757585091636,14.0,1.2798398275065455,Grid List Editors,554,False
113679,List View Columns Customization,data\raw_md\articles\ui-construction\views\layout\list-view-columns-customization.md,general,1027,4,0,2,17.917757585091636,14.0,1.2798398275065455,Grid List Editors,554,False
